City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
652,Les Cayes,HT,18.2,-73.75,88.5,63,100,14.5,Clouds
653,Thayetmyo,MM,19.3167,95.1833,79.39,84,100,5.01,Clouds
654,Linqing,CN,36.8456,115.7117,77.5,77,28,3.02,Clouds
655,Mwaya,TZ,-9.55,33.95,69.24,79,4,1.59,Clear
656,Masinigudi,IN,11.5667,76.6667,68.77,97,100,1.72,Rain
657,Taltal,CL,-25.4,-70.4833,62.76,73,27,6.22,Clouds
658,Goma,CD,-1.6792,29.2228,63.18,89,60,2.04,Rain
659,Wencheng,CN,33.0559,113.7978,76.68,75,0,1.45,Clear
660,Kimbe,PG,-5.5502,150.1429,74.73,90,96,3.91,Clouds
661,Luis Correia,BR,-2.8792,-41.6669,84.02,69,18,15.7,Clouds
662,Mongo,TD,12.1844,18.693,78.64,76,100,3.29,Rain
663,Arica,CL,-18.475,-70.3042,67.55,67,75,11.5,Clouds
664,Jawhar,SO,2.7809,45.5005,74.91,79,1,13.53,Clear
665,Zelezna Ruda,CZ,49.1374,13.2352,65.62,62,85,14.0,Clouds
