City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Oranjemund,NA,2022-07-28 20:33:11,-28.55,16.4333,55.04,87,50,7.54
151,Faanui,PF,2022-07-28 20:24:48,-16.4833,-151.75,79.39,71,1,24.65
152,Mizan Teferi,ET,2022-07-28 20:33:12,6.9833,35.5833,62.01,88,91,1.41
153,Gerash,IR,2022-07-28 20:33:12,27.6652,54.1371,78.94,69,100,4.29
154,Meulaboh,ID,2022-07-28 20:24:53,4.1363,96.1285,75.61,89,100,2.19
155,Debre Tabor,ET,2022-07-28 20:33:13,11.85,38.0167,51.53,94,100,1.28
156,Avera,US,2022-07-28 20:33:13,33.194,-82.5271,93.25,44,100,7.25
157,Trapani,IT,2022-07-28 20:33:13,37.8333,12.6667,84.27,74,0,4.61
158,Nantucket,US,2022-07-28 20:33:14,41.2835,-70.0995,82.54,84,0,11.5
159,Bulgan,MN,2022-07-28 20:33:15,48.8125,103.5347,48.58,94,96,1.03
160,Usinsk,RU,2022-07-28 20:33:15,65.9939,57.5281,60.96,62,60,11.59
161,Hilo,US,2022-07-28 20:21:55,19.7297,-155.09,86.29,71,0,9.22
162,Olinda,BR,2022-07-28 20:33:16,-8.0089,-34.8553,76.73,83,0,9.22
163,Avarua,CK,2022-07-28 20:33:16,-21.2078,-159.775,78.85,73,40,23.02
164,Kapaa,US,2022-07-28 20:33:17,22.0752,-159.319,82.38,74,100,5.75
165,Pangody,RU,2022-07-28 20:33:18,65.85,74.4859,58.46,73,30,4.41
166,Dikson,RU,2022-07-28 20:33:12,73.5069,80.5464,42.85,100,100,15.14
167,Mar Del Plata,AR,2022-07-28 20:30:05,-38.0023,-57.5575,50.09,97,100,18.99
168,Basco,PH,2022-07-28 20:28:58,20.4487,121.9702,85.3,75,55,12.39
169,Rovaniemi,FI,2022-07-28 20:33:19,66.5,25.7167,54.81,76,40,8.05
170,Mahebourg,MU,2022-07-28 20:27:50,-20.4081,57.7,68.29,88,75,8.05
171,Ponta Do Sol,PT,2022-07-28 20:24:12,32.6667,-17.1,74.71,82,1,2.93
172,Brae,GB,2022-07-28 20:33:20,60.3964,-1.353,53.96,82,100,8.21
173,Tiksi,RU,2022-07-28 20:34:21,71.6872,128.8694,51.19,91,93,4.68
174,Maceio,BR,2022-07-28 20:29:52,-9.6658,-35.7353,76.44,88,75,9.22
175,Ancud,CL,2022-07-28 20:32:19,-41.8697,-73.8203,47.1,80,100,5.03
176,Szabadbattyan,HU,2022-07-28 20:34:22,47.119,18.3682,77.9,40,2,3.31
177,Alofi,NU,2022-07-28 20:26:23,-19.0595,-169.9187,76.89,83,40,14.97
178,East London,ZA,2022-07-28 20:27:48,-33.0153,27.9116,69.85,57,15,16.93
179,Faya,SA,2022-07-28 20:34:23,18.3851,42.4509,70.32,54,100,0.43
180,Bushehr,IR,2022-07-28 20:34:24,28.9684,50.8385,87.89,66,75,11.5
181,Bam,IR,2022-07-28 20:34:24,29.106,58.357,88.11,44,93,2.13
182,Berlevag,NO,2022-07-28 20:34:25,70.8578,29.0864,49.95,81,75,14.97
183,Coreau,BR,2022-07-28 20:34:25,-3.5333,-40.6567,81.0,60,86,5.97
184,Comodoro Rivadavia,AR,2022-07-28 20:33:59,-45.8667,-67.5,53.46,35,0,41.43
185,Alice Springs,AU,2022-07-28 20:26:19,-23.7,133.8833,33.35,55,29,0.0
186,La Ronge,CA,2022-07-28 20:34:26,55.1001,-105.2842,77.22,31,40,10.36
187,Marzuq,YE,2022-07-28 20:34:27,14.4,46.4667,83.01,44,84,5.77
188,Tuatapere,NZ,2022-07-28 20:34:28,-46.1333,167.6833,40.33,91,93,2.8
189,Hambantota,LK,2022-07-28 20:33:08,6.1241,81.1185,77.56,90,100,4.25
190,Puerto El Triunfo,SV,2022-07-28 20:34:28,13.2833,-88.55,90.46,77,99,5.39
191,Haapiti,PF,2022-07-28 20:34:29,-17.5667,-149.8667,80.33,72,2,22.66
192,Turayf,SA,2022-07-28 20:26:34,31.6725,38.6637,86.25,15,0,8.05
193,Vila Franca Do Campo,PT,2022-07-28 20:34:29,37.7167,-25.4333,73.81,83,14,3.58
194,Verkhnevilyuysk,RU,2022-07-28 20:34:30,63.4453,120.3167,65.55,79,39,5.08
195,Nouadhibou,MR,2022-07-28 20:24:57,20.931,-17.0347,73.38,83,0,25.32
196,Griffith,US,2022-07-28 20:33:07,41.5284,-87.4237,83.25,50,0,11.5
197,Alihe,CN,2022-07-28 20:34:31,50.5667,123.7167,63.0,98,100,1.54
198,Portland,US,2022-07-28 20:33:30,45.5234,-122.6762,97.63,44,20,8.05
199,Nelson Bay,AU,2022-07-28 20:34:31,-32.7167,152.15,54.0,83,77,8.01
200,Acapulco,MX,2022-07-28 20:32:40,16.8634,-99.8901,87.62,66,75,3.44
201,Nome,US,2022-07-28 20:34:32,64.5011,-165.4064,57.16,71,0,6.91
202,Yarega,RU,2022-07-28 20:33:19,63.4354,53.5765,60.3,67,11,5.48
203,Sao Filipe,CV,2022-07-28 20:34:33,14.8961,-24.4956,79.02,79,22,10.63
204,Rtishchevo,RU,2022-07-28 20:34:34,52.2604,43.7874,68.05,70,29,4.52
205,Saint Anthony,US,2022-07-28 20:34:34,45.0205,-93.218,76.17,51,100,16.11
206,Karasjok,NO,2022-07-28 20:34:35,69.4719,25.5112,43.79,85,22,4.0
207,Gold Coast,AU,2022-07-28 20:32:51,-28.0,153.4333,51.01,96,0,1.14
208,Saskylakh,RU,2022-07-28 20:34:36,71.9167,114.0833,60.67,87,100,4.34
209,Urubamba,PE,2022-07-28 20:34:36,-13.3047,-72.1158,74.3,36,66,8.32
210,Rio Gallegos,AR,2022-07-28 20:34:12,-51.6226,-69.2181,44.65,65,0,33.38
211,Glenluce,GB,2022-07-28 20:34:37,54.8798,-4.8084,55.99,88,77,7.56
212,Yenagoa,NG,2022-07-28 20:34:37,4.9247,6.2642,72.93,95,100,4.52
213,Kerrville,US,2022-07-28 20:32:17,30.0474,-99.1403,96.55,38,40,11.5
214,Viedma,AR,2022-07-28 20:30:27,-40.8135,-62.9967,49.64,57,38,11.16
215,Pisco,PE,2022-07-28 20:34:38,-13.7,-76.2167,64.45,72,40,9.22
216,Saint-Joseph,RE,2022-07-28 20:34:39,-21.3667,55.6167,66.58,82,5,9.6
217,Noumea,NC,2022-07-28 20:34:04,-22.2763,166.4572,69.01,99,39,8.77
218,Tongliao,CN,2022-07-28 20:35:39,43.6125,122.2653,68.0,99,100,6.22
219,Kungurtug,RU,2022-07-28 20:35:40,50.5994,97.5228,43.25,94,77,0.56
220,Bonfim,BR,2022-07-28 20:35:40,3.0833,-59.95,83.19,74,97,1.79
221,Samarai,PG,2022-07-28 20:35:41,-10.6167,150.6667,78.35,85,82,14.34
222,Sochi,RU,2022-07-28 20:35:10,43.6,39.7303,68.09,74,0,4.36
223,Qaanaaq,GL,2022-07-28 20:25:14,77.484,-69.3632,41.22,68,11,2.95
224,Namtsy,RU,2022-07-28 20:33:22,62.7161,129.6658,73.11,61,0,2.28
225,Taybad,IR,2022-07-28 20:35:42,34.74,60.7756,84.0,23,6,17.38
226,Manaure,CO,2022-07-28 20:35:43,11.7751,-72.4445,86.76,58,95,15.12
227,Volosovo,RU,2022-07-28 20:32:24,59.4333,29.4833,52.99,97,11,3.87
228,Port Hueneme,US,2022-07-28 20:35:43,34.1478,-119.1951,99.19,70,20,13.8
229,Port Hardy,CA,2022-07-28 20:30:50,50.6996,-127.4199,66.38,77,0,5.75
230,Flinders,AU,2022-07-28 20:35:44,-34.5833,150.8552,50.18,82,55,7.0
231,Cururupu,BR,2022-07-28 20:35:45,-1.8283,-44.8683,77.2,82,51,3.96
232,Cam Ranh,VN,2022-07-28 20:35:45,11.9214,109.1591,78.76,89,20,1.14
233,Zhanaozen,KZ,2022-07-28 20:35:45,43.3,52.8,75.34,57,2,9.17
234,Jacqueville,CI,2022-07-28 20:35:46,5.2052,-4.4146,76.14,81,48,14.14
235,Nizamabad,IN,2022-07-28 20:32:41,18.6667,78.1167,78.4,82,100,3.83
236,Tura,IN,2022-07-28 20:35:47,25.5198,90.2201,73.85,92,36,2.77
237,Ouadda,CF,2022-07-28 20:35:47,8.0777,22.4007,65.98,99,100,3.18
238,Lazaro Cardenas,MX,2022-07-28 20:26:20,17.9583,-102.2,85.66,65,23,9.6
239,Vao,NC,2022-07-28 20:35:48,-22.6667,167.4833,69.37,63,100,11.86
240,Saint-Philippe,RE,2022-07-28 20:35:48,-21.3585,55.7679,67.59,85,11,9.57
241,Marsh Harbour,BS,2022-07-28 20:35:32,26.5412,-77.0636,83.52,70,18,14.72
242,Panacan,PH,2022-07-28 20:35:49,9.2463,118.4082,80.4,84,100,3.69
243,Darovskoy,RU,2022-07-28 20:35:50,58.77,47.9564,57.99,87,4,4.12
244,Oak Park,US,2022-07-28 20:32:17,41.885,-87.7845,82.08,46,75,10.36
245,Casablanca,MA,2022-07-28 20:33:39,33.5928,-7.6192,75.42,78,0,8.99
246,Rawson,AR,2022-07-28 20:30:52,-43.3002,-65.1023,57.49,38,0,17.27
247,Pasighat,IN,2022-07-28 20:35:50,28.0667,95.3333,75.94,95,69,2.06
248,Tuktoyaktuk,CA,2022-07-28 20:35:51,69.4541,-133.0374,44.6,93,100,5.75
249,Robertsport,LR,2022-07-28 20:35:51,6.7533,-11.3686,76.59,72,80,14.03
250,Ambilobe,MG,2022-07-28 20:35:52,-13.2,49.05,65.62,89,24,3.49
251,Albina,SR,2022-07-28 20:35:52,5.5,-54.05,77.67,95,100,3.18
252,Nemuro,JP,2022-07-28 20:35:53,43.3236,145.575,59.76,92,67,4.23
253,Bambous Virieux,MU,2022-07-28 20:35:53,-20.3428,57.7575,69.22,88,75,8.05
254,Urumqi,CN,2022-07-28 20:35:54,43.801,87.6005,79.75,32,0,6.71
255,Sur,OM,2022-07-28 20:35:54,22.5667,59.5289,82.06,73,100,15.77
256,Fortuna,US,2022-07-28 20:35:55,40.5982,-124.1573,73.92,71,0,12.66
257,Tambun,ID,2022-07-28 20:35:55,-6.2641,107.0712,81.86,83,100,4.56
258,Araouane,ML,2022-07-28 20:35:56,18.9048,-3.5265,101.66,18,63,9.1
259,George Town,MY,2022-07-28 20:35:57,5.4112,100.3354,80.89,90,20,3.44
260,Ust-Maya,RU,2022-07-28 20:34:23,60.4167,134.5333,67.62,69,4,2.86
261,Coos Bay,US,2022-07-28 20:34:18,43.3665,-124.2179,83.32,81,0,13.8
262,Geraldton,AU,2022-07-28 20:36:57,-28.7667,114.6,57.61,94,100,11.5
263,Almenara,BR,2022-07-28 20:35:24,-16.1836,-40.6944,72.05,49,0,4.0
264,Hamilton,US,2022-07-28 20:34:14,39.1834,-84.5333,90.95,51,40,11.5
265,Santa Rosa,PH,2022-07-28 20:36:58,14.3122,121.1114,82.11,90,100,4.61
