City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Santa Cruz Cabralia,BR,73.63,Clouds,-16.2781,-39.0247,Puerto Princesa Inn
612,Sabang,ID,82.13,Clouds,5.8933,95.3214,Hotel Citra
618,Miandoab,IR,86.38,Clouds,36.9694,46.1027,هتل برنجیان
619,Abu Zabad,SD,76.91,Clouds,12.35,29.25,حامد محمد نور
620,Ilyich,KZ,73.85,Clear,40.8464,68.5067,Aul Madeniyet
623,Sur,OM,88.38,Clouds,22.5667,59.5289,Sur Plaza Hotel
625,Cravo Norte,CO,74.66,Rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
626,Lipari,IT,84.33,Clear,38.4674,14.954,Hotel Villa Augustus
627,La Orilla,MX,88.14,Clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
628,Ramanuj Ganj,IN,78.1,Rain,23.8,83.7,HOTEL SAI SIDDHI
629,Sao Gabriel Da Cachoeira,BR,84.0,Clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
631,San Quintin,MX,78.26,Clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
633,Mana,GF,82.96,Clouds,5.6592,-53.7767,LE SAMANA
635,Bintulu,MY,77.41,Clouds,3.1667,113.0333,900 Boutique INN
638,Ismailia,EG,79.72,Clear,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
639,Lucapa,AO,75.34,Clear,-8.4192,20.7447,Lírio Mendes
641,Piracanjuba,BR,88.36,Clear,-17.3028,-49.0167,Casas Luci
642,Nouadhibou,MR,78.78,Clouds,20.931,-17.0347,El Medina
643,Mitsamiouli,KM,73.69,Clouds,-11.3847,43.2844,Foyer ADM
644,Tra Vinh,VN,77.94,Rain,9.9347,106.3453,Hồng Ân
646,Koungou,YT,74.91,Clouds,-12.7336,45.2042,Villa Netibor
648,Parana,AR,74.55,Clear,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
652,Les Cayes,HT,88.5,Clouds,18.2,-73.75,Villa Orphee
653,Thayetmyo,MM,79.39,Clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
654,Linqing,CN,77.5,Clouds,36.8456,115.7117,Dongfang Hotel
659,Wencheng,CN,76.68,Clear,33.0559,113.7978,Ruyi Hostel
660,Kimbe,PG,74.73,Clouds,-5.5502,150.1429,Kimbe Bay Hotel
661,Luis Correia,BR,84.02,Clouds,-2.8792,-41.6669,Hotel Amarração
662,Mongo,TD,78.64,Rain,12.1844,18.693,Résidences du Programme FIDA
664,Jawhar,SO,74.91,Clear,2.7809,45.5005,Hotel Shabelle
667,Galesong,ID,75.22,Rain,-5.3166,119.3661,Sapriadi Appy
669,Iracoubo,GF,82.9,Clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
670,Kamaishi,JP,75.4,Clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
672,Santa Maria Del Oro,MX,83.19,Clouds,25.9333,-105.3667,Hotel Palacio Del Sol
674,Sibenik,HR,85.66,Clear,43.7272,15.9058,Hotel Jadran
676,La Asuncion,VE,83.93,Clouds,11.0333,-63.8628,Colinas de Matasiete
